championid,matchid,teamid,killingsprees,totdmgdealt,visionscore,win,goldearned,champlvl,totheal,totdmgtaken,towerkills,inhibkills_y,baronkills,dragonkills,harrykills,KDA,support_champion
79,71924.0,200.0,0.045454545454545456,0.9996362803899671,0.0,0.0,0.22349411627636026,0.7352941176470588,0.08152151990641765,0.23289666458185185,0.0625,0.0,0.0,0.14285714285714285,0.0,0.030753968253968256,122.5
80,140382.0,200.0,0.18181818181818182,0.9996556606746038,0.0,1.0,0.31652685541186065,0.8823529411764706,0.03230002823605341,0.23852566464182598,0.4375,0.07692307692307693,0.2,0.14285714285714285,0.0,0.041666666666666664,44.0
81,93170.0,200.0,0.09090909090909091,0.9996592350571794,0.02793296089385475,0.0,0.29887568449260166,0.8235294117647058,0.028165463272961964,0.15943692863935846,0.375,0.0,0.0,0.14285714285714285,0.0,0.057291666666666664,89.0
82,87169.5,100.0,0.18181818181818182,0.999665361173741,0.0,1.0,0.3103809856693464,0.8235294117647058,0.09929006494292283,0.15128901531053746,0.4375,0.07692307692307693,0.0,0.2857142857142857,0.0,0.058001893939393936,60.0
83,141939.0,100.0,0.0,0.9996322905709482,0.0,0.0,0.15661773272748455,0.5882352941176471,0.051268605542333916,0.16163883581654773,0.1875,0.0,0.0,0.14285714285714285,0.0,0.020833333333333332,26.0
84,126380.5,100.0,0.18181818181818182,0.9996477804154797,0.01675977653631285,0.0,0.3023418385180007,0.8235294117647058,0.08086099794280183,0.21621528997489659,0.375,0.038461538461538464,0.0,0.14285714285714285,0.0,0.041071428571428564,55.0
85,99712.0,100.0,0.09090909090909091,0.9996594887410579,0.01675977653631285,0.0,0.30059419783292557,0.8235294117647058,0.03401436005001816,0.18444613895148096,0.375,0.0,0.0,0.14285714285714285,0.0,0.05208333333333333,89.0
86,65379.5,150.0,0.13636363636363635,0.9996521272538288,0.01675977653631285,1.0,0.26903471979494353,0.8529411764705882,0.028846153846153848,0.2214758775499713,0.53125,0.11538461538461539,0.2,0.5,0.0,0.04090909090909091,40.0
90,85103.5,100.0,0.09090909090909091,0.9996550623064828,0.01675977653631285,1.0,0.2819818245368752,0.7941176470588235,0.016593723528699932,0.15037655183049597,0.375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05694444444444444,133.5
91,92157.0,100.0,0.2727272727272727,0.9996582626798907,0.06145251396648045,1.0,0.33088663637422816,0.8235294117647058,0.03752369811625187,0.21778318496877064,0.5625,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05555555555555555,84.0
92,70642.0,200.0,0.18181818181818182,0.9996554842595763,0.02793296089385475,0.0,0.29287545147384364,0.8235294117647058,0.03804808196522932,0.20592544359433504,0.3125,0.0,0.0,0.14285714285714285,0.0,0.034722222222222224,45.0
96,91546.0,200.0,0.18181818181818182,0.9996647790972453,0.0335195530726257,1.0,0.31367237562623795,0.8235294117647058,0.034609334032511804,0.17225425602097383,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.04861111111111111,117.0
98,168981.0,100.0,0.09090909090909091,0.9996350475794122,0.0,1.0,0.17919142490970522,0.5882352941176471,0.01589286434593199,0.1250717547572333,0.1875,0.0,0.0,0.14285714285714285,0.0,0.14583333333333331,16.0
99,102984.0,100.0,0.09090909090909091,0.999649455427291,0.02793296089385475,0.0,0.2907782826517535,0.8235294117647058,0.02185268847565649,0.12122484299630731,0.25,0.0,0.0,0.14285714285714285,0.0,0.05113636363636363,53.0
101,105864.5,100.0,0.13636363636363635,0.9996514036729311,0.04189944134078212,1.0,0.2989485028544798,0.7352941176470588,0.0186761324674277,0.10180179408312415,0.53125,0.07692307692307693,0.1,0.14285714285714285,0.0,0.06458333333333333,169.0
103,115278.0,100.0,0.09090909090909091,0.9996547422924158,0.06145251396648045,1.0,0.2951473843644414,0.8235294117647058,0.03189665604453229,0.14762202592595766,0.5,0.07692307692307693,0.0,0.14285714285714285,0.0,0.046296296296296294,90.0
104,140353.0,200.0,0.18181818181818182,0.9996696751961021,0.0,1.0,0.3153326342770593,0.8235294117647058,0.027429309023435926,0.17556140065286122,0.375,0.07692307692307693,0.0,0.2857142857142857,0.0,0.05555555555555555,89.0
105,58903.0,100.0,0.09090909090909091,0.9996317219932277,0.025139664804469275,0.0,0.2332954677851567,0.7058823529411764,0.013830624016780283,0.12726937806831912,0.125,0.0,0.0,0.07142857142857142,0.0,0.03697916666666666,98.5
106,113915.0,200.0,0.2727272727272727,0.9996677215974994,0.0446927374301676,1.0,0.43058953745776535,1.0,0.056260336412407734,0.3545584619207142,0.6875,0.38461538461538464,0.2,0.2857142857142857,0.5,0.10833333333333334,432.0
107,126727.0,200.0,0.18181818181818182,0.9996450999776544,0.0446927374301676,0.0,0.30458464406384717,0.7647058823529411,0.037685046992860315,0.19764044655020263,0.5,0.15384615384615385,0.0,0.2857142857142857,0.0,0.04375,91.0
110,96310.5,100.0,0.09090909090909091,0.9996645875542801,0.0446927374301676,1.0,0.3104246766864733,0.8235294117647058,0.0322243959501432,0.16263269275255532,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05208333333333333,89.0
111,184634.0,100.0,0.0,0.9996185167000283,0.0,0.0,0.08918792962833508,0.47058823529411764,0.007916179258601913,0.0988030878106874,0.0,0.0,0.0,0.0,0.0,0.0,201.0
112,119437.0,200.0,0.18181818181818182,0.999664792363283,0.0,0.0,0.3009145986251893,0.7647058823529411,0.017950062522689686,0.13582425867697082,0.25,0.0,0.0,0.14285714285714285,0.0,0.043402777777777776,117.0
113,185133.0,100.0,0.0,0.9996272438909268,0.0,0.0,0.1334906209949901,0.5882352941176471,0.009317897624137792,0.16817601549045985,0.0625,0.0,0.0,0.0,0.0,0.01488095238095238,32.0
114,11881.0,200.0,0.09090909090909091,0.9996687372639638,0.0,0.0,0.3322264942327858,0.8823529411764706,0.10204308015005446,0.2291525656074094,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.03125,111.0
115,87618.0,200.0,0.09090909090909091,0.9996730082298868,0.05027932960893855,1.0,0.30995863917045324,0.8235294117647058,0.02649146867814933,0.13841171380347336,0.5,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05386904761904762,89.0
117,114940.0,200.0,0.09090909090909091,0.9996544536979117,0.0111731843575419,1.0,0.2912443201677735,0.8235294117647058,0.031846234520592154,0.15214578853123367,0.5,0.07692307692307693,0.0,0.14285714285714285,0.0,0.0625,63.0
119,90878.0,100.0,0.18181818181818182,0.9996668483663871,0.0446927374301676,1.0,0.33751310730513806,0.7647058823529411,0.03257734661772417,0.17550571039351595,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.046296296296296294,89.0
120,125786.0,200.0,0.2727272727272727,0.999633052553534,0.0782122905027933,0.0,0.2130956542001631,0.7058823529411764,0.04597434552861926,0.2277474575254676,0.1875,0.0,0.0,0.14285714285714285,0.0,0.037037037037037035,497.0
121,102761.5,100.0,0.18181818181818182,0.9996654707931051,0.01675977653631285,0.0,0.3138325760223698,0.9117647058823529,0.06323867532572305,0.2347644302029696,0.1875,0.0,0.0,0.14285714285714285,0.25,0.047569444444444435,237.5
122,76318.0,100.0,0.18181818181818182,0.9996501690004761,0.0782122905027933,1.0,0.29820575556332285,0.8235294117647058,0.06322859102093502,0.2770461886443278,0.5625,0.15384615384615385,0.2,0.14285714285714285,0.0,0.078125,25.0
126,104012.0,100.0,0.18181818181818182,0.9996631178169468,0.04748603351955308,0.5,0.30272049399976697,0.8235294117647058,0.03257734661772418,0.19069201573035635,0.40625,0.07692307692307693,0.0,0.14285714285714285,0.0,0.048958333333333326,89.0
127,73912.0,200.0,0.09090909090909091,0.9996521088675661,0.01675977653631285,0.0,0.2330041943376442,0.7058823529411764,0.02796377717720141,0.14796473521423614,0.09375,0.0,0.0,0.07142857142857142,0.0,0.03255208333333333,94.0
131,105251.0,100.0,0.0,0.9996620279072189,0.0,0.0,0.2633694512408249,0.8235294117647058,0.022719938687426892,0.16997523925392188,0.1875,0.0,0.0,0.14285714285714285,0.0,0.03819444444444444,84.0
133,117784.0,200.0,0.18181818181818182,0.9996566807630807,0.0335195530726257,0.0,0.30783234300361184,0.8235294117647058,0.032622725989270296,0.17896279033902518,0.4375,0.07692307692307693,0.0,0.2857142857142857,0.0,0.04583333333333334,89.0
134,95601.0,200.0,0.18181818181818182,0.9996585414994196,0.06145251396648045,1.0,0.2854771059070255,0.7647058823529411,0.01949296115525796,0.11456771507149774,0.375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.05208333333333333,45.0
136,86437.0,100.0,0.09090909090909091,0.999651639901497,0.0,0.0,0.2802924385413026,0.8235294117647058,0.05439474002662257,0.16097912043661164,0.5625,0.15384615384615385,0.0,0.14285714285714285,0.0,0.04861111111111111,43.0
143,59418.0,100.0,0.09090909090909091,0.9996520388135776,0.0782122905027933,0.0,0.302370965862752,0.8823529411764706,0.013855834778750353,0.13339102273019357,0.1875,0.0,0.0,0.2857142857142857,0.0,0.07083333333333333,119.0
150,110222.5,200.0,0.09090909090909091,0.9996547788322039,0.0446927374301676,0.0,0.2567284166375393,0.8235294117647058,0.026027590657900047,0.21478019483023042,0.1875,0.0,0.0,0.21428571428571427,0.0,0.03177083333333333,111.0
157,97636.0,100.0,0.18181818181818182,0.9996751952642051,0.03910614525139665,1.0,0.3376150530117675,0.8235294117647058,0.019170263402041064,0.18513155752803792,0.5,0.07692307692307693,0.0,0.2857142857142857,0.0,0.046296296296296294,89.0
161,100615.0,200.0,0.09090909090909091,0.9996564310357398,0.03910614525139665,1.0,0.2509320750320401,0.7647058823529411,0.017153402444435483,0.11286273636231227,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.04513888888888888,57.0
163,78487.0,200.0,0.18181818181818182,0.9996575518995555,0.0,1.0,0.30656530350693234,0.8235294117647058,0.030978984308821754,0.14445196500938168,0.5625,0.15384615384615385,0.2,0.2857142857142857,0.0,0.05929487179487179,143.0
164,148229.0,200.0,0.18181818181818182,0.9996264334989403,0.0446927374301676,1.0,0.2888850052429221,0.8235294117647058,0.02998063813480699,0.20212993822665082,0.6875,0.23076923076923078,0.0,0.2857142857142857,0.5,0.04861111111111111,3.0
202,97871.5,100.0,0.18181818181818182,0.9996616210820631,0.0335195530726257,0.0,0.299370849353373,0.7647058823529411,0.03064116009842282,0.14815322532278932,0.375,0.0,0.0,0.14285714285714285,0.0,0.05555555555555555,89.0
203,104018.0,200.0,0.09090909090909091,0.9996489029084582,0.0,0.0,0.25241756961435396,0.7647058823529411,0.07451292807873826,0.20081050746677864,0.3125,0.0,0.0,0.14285714285714285,0.0,0.039351851851851846,89.0
222,98848.0,100.0,0.18181818181818182,0.999668004839041,0.03910614525139665,1.0,0.3123616451124316,0.8235294117647058,0.029673066838772136,0.157954710967554,0.4375,0.07692307692307693,0.0,0.14285714285714285,0.0,0.051209207459207456,89.0
