ADC,Support,Wins,Total Games,Winrate
42,89,70,122,0.5737704918032787
42,412,76,175,0.4342857142857143
21,37,455,813,0.5596555965559655
21,90,58,114,0.5087719298245614
115,143,21,36,0.5833333333333334
222,40,982,1760,0.5579545454545455
429,143,47,114,0.41228070175438597
99,90,1,2,0.5
222,80,5,10,0.5
110,90,27,65,0.4153846153846154
429,16,84,156,0.5384615384615384
104,16,19,38,0.5
22,90,88,168,0.5238095238095238
119,78,11,28,0.39285714285714285
51,26,293,576,0.5086805555555556
22,21,80,163,0.49079754601226994
115,223,7,9,0.7777777777777778
222,111,238,491,0.4847250509164969
67,40,1305,2470,0.52834008097166
236,48,18,45,0.4
115,90,7,15,0.4666666666666667
429,53,267,506,0.5276679841897233
429,90,9,28,0.32142857142857145
21,143,260,496,0.5241935483870968
103,412,9,10,0.9
51,134,9,24,0.375
119,90,48,104,0.46153846153846156
21,267,253,511,0.49510763209393344
67,223,142,299,0.47491638795986624
21,1,61,133,0.45864661654135336
236,37,948,1741,0.5445146467547387
110,161,50,88,0.5681818181818182
15,267,123,247,0.4979757085020243
67,27,1,3,0.3333333333333333
202,223,69,160,0.43125
115,40,19,35,0.5428571428571428
42,267,29,53,0.5471698113207547
51,92,3,7,0.42857142857142855
21,17,29,56,0.5178571428571429
110,43,233,519,0.4489402697495183
29,40,688,1284,0.5358255451713395
42,111,13,23,0.5652173913043478
119,16,396,776,0.5103092783505154
222,267,596,1107,0.5383920505871725
81,43,727,1553,0.46812620734063104
22,267,491,961,0.5109261186264308
29,54,16,42,0.38095238095238093
236,223,213,446,0.47757847533632286
115,1,3,6,0.5
222,63,308,613,0.5024469820554649
29,10,4,13,0.3076923076923077
81,54,35,76,0.4605263157894737
67,103,3,6,0.5
42,25,47,90,0.5222222222222223
119,81,3,7,0.42857142857142855
15,111,71,138,0.5144927536231884
110,57,84,186,0.45161290322580644
3,111,0,1,0.0
157,25,4,8,0.5
110,267,205,420,0.4880952380952381
222,78,40,80,0.5
202,54,16,41,0.3902439024390244
22,99,179,361,0.49584487534626037
96,43,235,454,0.5176211453744494
29,20,15,26,0.5769230769230769
119,143,270,492,0.5487804878048781
15,12,97,181,0.5359116022099447
22,201,418,826,0.5060532687651331
81,223,98,244,0.4016393442622951
18,111,106,232,0.45689655172413796
222,1,100,209,0.4784688995215311
202,12,143,297,0.48148148148148145
29,432,270,523,0.5162523900573613
81,427,4,11,0.36363636363636365
157,53,15,23,0.6521739130434783
21,98,24,50,0.48
104,267,35,64,0.546875
222,10,14,21,0.6666666666666666
21,78,24,40,0.6
81,45,50,109,0.45871559633027525
67,105,2,2,1.0
81,24,2,4,0.5
67,6,1,4,0.25
222,154,3,12,0.25
67,268,0,5,0.0
22,85,4,8,0.5
81,14,37,63,0.5873015873015873
15,143,98,189,0.5185185185185185
236,26,311,547,0.5685557586837294
